4233 4243
1274 2437 14
2495 304 19
4172 2493 9
3722 3015 19
1679 1134 6
3618 846 7
1477 1922 13
584 4086 5
3083 748 15
3292 1763 15
1852 3669 12
350 1404 7
1337 90 10
689 473 20
1167 3812 17
983 2472 12
171 1958 14
2380 3838 19
228 249 6
4214 1286 8
3884 3174 6
2297 3600 17
2632 656 9
4184 164 9
3634 1 17
448 2398 13
2196 4159 8
2631 1479 11
347 1887 8
3073 3814 11
555 3229 20
1055 3681 11
52 3525 7
1471 2226 17
233 3150 19
3452 645 15
3482 3074 11
811 17 7
3946 2434 6
1967 3008 14
1743 3492 13
2367 3818 16
3784 1520 5
3017 3448 12
1111 1469 5
2379 936 6
1600 3386 16
2264 3406 13
3205 2392 8
263 1842 14
1749 3232 7
105 1362 14
1566 3781 20
4121 482 7
3690 4103 20
2213 2000 12
3706 3956 14
2381 533 9
2751 3054 10
3636 1155 19
1425 3906 13
1762 283 8
3093 3693 15
1038 2750 12
3403 429 20
248 3962 12
690 1568 10
3893 61 15
1169 2243 11
2601 3336 16
2774 865 6
798 75 10
219 2140 16
2716 3755 10
3030 3172 20
1702 2330 7
1833 521 12
611 13 17
200 2988 16
640 112 16
2252 4031 14
2901 2968 10
3658 2383 18
3231 3797 7
495 3898 20
1168 992 16
2677 2996 8
3584 416 9
964 2448 17
4042 3546 20
1680 705 19
203 2640 5
2286 1132 20
2478 3385 12
2119 3915 16
2532 2361 8
467 543 19
1965 2772 13
2253 1581 6
1886 175 5
3828 1123 10
2129 1657 19
872 2747 5
2141 3069 16
375 174 11
2490 1725 10
2059 3878 14
928 2604 14
2496 128 7
2556 925 19
2218 3598 20
1901 46 17
3787 1186 10
2574 1206 6
1236 4044 7
1307 2992 11
3956 2164 9
2274 3463 15
3108 3992 13
379 345 6
675 2651 10
698 2912 17
1572 2725 9
626 188 12
75 1195 12
244 2780 20
3307 1948 8
1300 1882 11
3572 1139 15
4109 2261 9
335 2895 11
3468 2732 10
3548 723 9
1607 2745 14
3940 1304 19
832 248 5
1975 2944 17
2888 1002 8
3056 3815 5
4194 1925 9
2180 169 17
1938 1395 10
3974 2564 13
4149 2001 14
3582 1391 11
3046 1017 18
2704 1529 9
843 1685 20
3613 2933 18
3743 1193 8
1582 234 18
1973 3237 14
1019 1571 14
2908 564 20
2515 617 20
575 1063 10
3196 3403 14
405 516 14
724 3735 15
3129 224 8
1484 1839 8
704 1906 8
3464 3414 20
3266 3434 6
1650 693 13
476 1382 7
265 2942 9
1036 1170 19
2347 4168 14
2592 940 16
355 1627 16
3951 3730 9
3910 1535 15
3854 1393 14
819 755 15
1596 4057 7
3827 1955 17
2203 3364 16
1459 336 5
1339 65 10
2421 2461 19
3112 2302 12
1368 2181 13
2905 2503 10
3625 2435 14
409 94 5
3602 171 17
2029 2410 10
3426 1921 8
862 1253 19
2462 3318 13
1612 2631 16
4181 182 12
685 280 5
31 915 16
3315 996 17
908 3116 16
3695 3609 7
3110 4102 16
3958 572 9
460 4036 13
1966 2446 8
1501 3388 17
2088 4224 17
3419 919 1246
3912 2402 5
1809 772 14
2775 3113 10
258 40 16
3814 1785 15
587 695 14
1451 813 12
3004 177 5
3152 966 8
181 3894 7
27 1022 14
825 964 20
71 364 13
173 2423 14
2776 3035 5
3573 3533 20
2417 4029 16
4192 281 17
2122 1889 12
2050 3097 11
3947 2721 8
2228 114 17
1226 2105 17
2161 854 18
1340 726 9
1316 1319 16
3048 3201 15
2326 1717 20
1246 2901 19
1280 2263 8
3989 678 6
586 449 10
1138 3567 19
1079 1518 20
2782 2388 7
2149 4173 20
3350 3179 8
3981 1144 15
2830 2851 13
3679 2730 7
1389 463 20
747 3564 18
118 2879 17
4125 863 5
2842 2444 13
1621 2553 18
3101 4192 11
2659 3096 10
3166 4015 14
2791 610 12
1918 1573 12
3932 902 6
3014 1046 6
3198 497 13
3310 3086 15
368 286 6
2688 3849 5
2461 3903 16
3075 2723 14
1547 653 10
1145 3310 11
536 2230 9
2396 1595 7
2364 31 8
1287 1891 18
1401 183 9
1880 3652 8
294 1667 11
2158 1198 16
3581 1277 19
796 2891 5
2735 953 17
1820 2835 6
3820 1211 9
1177 23 13
2878 3244 9
4185 3129 15
2919 4202 11
537 3230 18
2977 3833 19
474 2116 8
1214 3486 9
1348 2500 19
653 558 9
3562 469 9
3287 1999 5
3201 1488 11
3068 1262 13
3174 2763 14
2343 2621 12
62 3754 20
1815 2713 13
2876 2017 9
2251 215 9
133 3945 16
697 3202 19
180 4039 17
2747 4180 15
4061 1079 12
1107 3750 7
1502 3026 6
4128 583 11
3757 710 7
2147 374 11
461 541 5
968 3273 16
2978 142 11
2395 356 12
794 3046 16
2544 2245 9
816 1802 6
3238 2454 14
2153 620 17
2720 1458 12
3009 3005 19
4034 1129 5
1440 2297 18
1657 2501 15
2433 3131 11
2530 3443 11
2777 240 19
2925 3930 17
1464 3381 11
3621 2179 5
132 2831 18
3367 3663 5
1351 4114 17
3769 914 15
2295 1637 11
3897 1672 17
3508 2114 11
3739 1913 17
1717 2754 13
659 14 16
1613 1670 5
500 2958 19
2204 3989 5
1754 741 15
867 357 11
1868 3037 10
2986 1140 5
4043 471 15
1578 2204 6
186 557 5
734 2087 10
1493 1570 5
1758 720 8
2409 2289 16
4171 1558 15
2223 1542 13
2243 2700 15
51 3951 5
2897 2736 18
3357 2285 8
2358 948 18
2655 1261 5
1594 3877 6
1694 2376 19
831 4117 8
946 655 20
691 3332 15
2273 1650 13
2570 1994 17
2220 2194 10
1345 2168 13
2904 259 19
86 152 8
1285 2197 9
676 2192 16
2723 1255 23
812 2 5
2473 2527 19
3919 3788 11
150 2858 19
3594 3234 14
528 4030 14
2693 2002 13
1865 3852 19
1457 3256 62727
317 100 16
3443 62 17
882 3396 19
534 1309 13
3239 2244 5
649 3502 9
3259 3119 19
1602 2092 6
3293 3493 15
1919 4001 11
2527 1031 19
2862 3924 20
1375 3314 17
4093 3028 10
1354 2301 8
3812 1584 19
3841 3634 10
1422 4109 5
516 3431 17
2436 1361 19
1627 3874 13
2604 1422 14
2624 2929 19
4067 453 7
147 2079 10
1740 1671 9
3703 1849 17
3224 348 20
436 72 9
1427 1357 13
2281 4096 18
3130 1563 5
1931 3957 15
2698 2299 9
1523 1719 10
3469 2760 18
894 694 17
1240 3575 5
918 1024 5
1268 1251 12
2074 2356 11
3265 3392 13
1669 3013 13
2287 4060 10
116 3813 8
3609 287 14
1744 1577 11
1444 2752 11
333 2316 13
3640 2707 13
1437 3518 5
66 586 14
2941 3206 7
3901 2591 19
1668 2769 15
1633 1937 8
818 273 15
59 2855 6
1302 3917 20
4144 1908 14
2447 3871 14
395 618 17
2974 1038 9
2928 1408 20
4123 512 14
3027 2125 10
3486 1340 8
3061 626 12
2898 1834 9
2642 2432 17
70 1923 7
3817 1482 10
2643 673 10
298 2369 16
839 3187 18
2317 2249 10
450 2054 10
1894 600 15
3712 2463 16
3013 2287 16
2341 3901 6
3754 3292 7
971 2156 6
2585 2919 13
2702 201 15
3300 2129 18
1954 3865 11
3642 223 20
319 3988 8
856 3158 11
2505 1848 12
3663 4094 6
1819 3090 8
2644 2647 7
3269 258 16
3552 1305 9
3095 4183 6
3682 3516 14
1804 1300 11
4137 3050 20
2183 614 12
834 1380 13
2709 3594 8
2460 2108 8
3969 2528 18
3779 4163 10
15 1090 7
2653 1215 9
3902 3659 13
2150 44 5
595 1813 13
1635 3242 18
1937 2818 9
1525 1796 5
3236 2038 10
1832 3544 12
3665 2695 7
3120 672 8
4074 3497 5
2331 1636 10
323 3597 7
3294 2592 12
1115 2161 6
2083 2984 15
727 1089 5
3935 150 18
370 730 13
1275 4032 14
2454 1678 6
581 1697 17
4179 530 6
2076 476 5
1670 1432 17
1114 519 20
2841 1366 13
1069 3347 14
2828 2308 5
4103 2883 18
2723 3395 16
3314 585 15
3039 571 20
2703 4092 20
2372 1416 15
3725 3531 5
245 2246 9
3126 4017 19
1631 438 11
1117 4187 17
4071 317 8
1900 3892 13
4079 36 12
3578 899 9
780 3561 8
2268 4041 5
2784 1329 20
2145 3548 13
3815 935 20
518 1640 16
3377 95 18
1869 956 6
686 761 8
851 2153 15
1904 1669 7
3832 417 11
1939 3462 11
1180 3384 8
3809 1452 12
2640 573 17
1704 1735 5
1203 1111 11
1568 2892 11
1303 1133 13
1469 1224 17
3179 1010 18
38 2408 15
2488 1714 20
604 3283 58577
1182 3905 20
3571 444 6
145 498 12
593 613 11
662 401 6
762 1505 20
2445 773 15
2846 3355 8
1707 1700 20
2587 1174 12
3471 3184 13
1498 4042 9
3445 4089 14
2662 2099 7
1005 260 16
4092 609 20
672 2014 20
3737 2735 5
1458 3034 17
3337 3749 20
3057 3800 18
1231 3674 6
477 2007 11
1100 3062 14
546 3480 5
3742 125 14
3704 1621 16
1281 3176 9
2717 2850 6
2634 3648 11
1837 2956 12
1796 1293 5
2696 1935 7
358 4152 9
907 157 18
1674 3574 9
486 1547 16
2010 140 7
945 52 5
23 465 13
914 774 12
2772 3762 20
416 1260 10
3150 1872 13
3639 4016 17
688 1057 9
848 3939 20
177 2963 16
241 3020 13
1934 2921 14
940 599 12
710 975 13
3740 2120 17
1045 3596 16
1016 3509 13
4086 3291 12
1655 2930 14
12 1693 15
269 1983 6
3696 2113 9
2619 3058 7
266 2798 13
2086 3353 10
3106 189 15
3845 3627 18
2579 379 17
4221 1799 11
1063 2026 16
3220 1093 17
578 2082 86181
2378 2619 7
1685 308 19
535 1936 15
605 3182 5
98 1496 18
2764 924 7
775 3077 5
2537 389 9
3954 639 18
579 3248 17
3242 2833 15
668 1729 10
3149 66 6
3497 3643 11
3785 3456 12
2099 2920 20
2781 1162 16
1028 829 6
767 1585 18
2826 1281 14
826 2477 8
1585 2650 14
83 1590 14
3421 103 6
2505 2439 40
3113 703 13
554 2694 10
1987 87 11
3002 667 11
3313 929 20
1001 3250 9
2199 1866 8
1638 1168 18
742 2428 15
1867 1091 5
3192 1715 6
3512 3686 13
2930 162 17
2616 161 14
1120 398 15
3653 53 8
2085 1656 13
4070 1792 11
3128 156 6
3157 523 14
1772 369 17
2072 1114 16
2560 2390 17
1421 3774 17
507 3215 7
2171 649 9
1383 1635 18
3213 2080 13
2296 560 11
3718 701 19
3993 1544 14
754 1753 15
980 2685 5
262 1989 7
667 1778 13
3257 2213 14
1986 2574 15
2109 3408 12
1559 3628 6
2518 3289 8
814 802 15
1593 383 7
1972 1945 11
3566 1190 9
2313 1472 13
4146 3753 17
1557 3173 5
3019 2570 19
2699 2048 20
3341 2541 44
104 2419 6
4210 4216 19
2721 1208 5
1171 3175 11
3630 3239 5
2969 3512 6
4059 907 17
647 575 20
1892 840 16
3738 2982 11
4182 187 20
499 2712 18
256 2166 15
842 37 16
1611 2111 50037
2610 938 10
3558 3986 5
191 3390 18
74 2471 11
1141 3167 19
3614 3704 14
2134 2699 15
2339 1476 15
2680 1064 5
281 2203 14
857 4227 7
1881 1776 11
2250 3656 20
2151 3378 6
3671 546 17
3140 858 16
506 1701 19
2836 3573 11
1508 1078 13
3717 4138 20
2650 1160 17
3225 2890 10
42 2940 10
1988 1732 5
1982 1271 16
2448 729 12
1048 3301 15
3930 1158 6
2742 1287 19
979 2765 9
393 1020 6
2377 883 16
3926 2413 11
3055 2391 18
3846 1538 5
1945 1722 7
4046 2491 14
165 3148 19
3273 1589 12
1873 2303 7
2398 1003 5
1238 3296 8
1753 1205 7
1424 1649 9
3351 3712 6
3484 366 6
3624 3944 6
1920 3031 7
1998 2309 14
1782 1122 20
948 866 18
340 391 6
841 3791 18
858 2653 9
3758 2943 9
3052 1800 10
4218 2011 15
2136 2853 7
990 230 11
2754 3651 10
2531 1873 16
1552 4043 11
2510 1808 13
4169 3698 9
1742 1770 12
3733 3887 15
2521 2897 10
2741 3825 16
2283 412 7
196 2555 15
1564 822 16
2565 1025 14
1039 2543 6
2864 2718 20
1989 1951 11
1733 1358 7
1970 3831 10
392 3453 17
1135 3920 20
1848 896 54908
1693 2662 14
135 1514 16
1301 2615 15
433 3577 11
2779 1375 11
1121 1032 20
2801 3804 11
2318 3984 19
1799 3761 5
3023 504 19
2727 3056 16
411 864 11
277 158 13
3825 404 12
2618 871 14
915 493 11
4009 877 6
3347 170 20
3765 3382 9
792 1332 10
2022 3524 11
3089 266 5
2262 1543 17
2087 709 13
2621 1443 17
2007 2222 14
2282 1561 6
1083 2547 16
1225 4059 14
2872 534 9
2778 1379 13
2340 2193 5
2566 2786 5
2481 3586 14
2922 1178 10
783 2573 5
1473 3955 12
3022 3304 17
1265 3692 5
3107 2825 15
3678 3535 18
1286 1115 20
2581 3665 15
3477 292 7
2979 4128 16
1000 598 18
3569 1331 10
4215 2677 17
2835 3854 9
1764 551 15
3638 3658 8
3654 3367 16
78 2691 17
4188 2877 7
1320 4134 15
1033 1301 16
2107 3162 17
709 1598 19
3511 1837 9
3457 3913 15
661 3284 16
901 1971 14
3644 882 13
3230 1871 9
3885 507 7
2852 918 20
3647 2878 10
1961 2562 13
1623 2854 7
1651 121 5
741 2664 10
2206 3286 16
415 1136 18
4088 919 14
2261 3402 19
1763 1298 19
3067 3366 18
854 3579 20
1932 2512 7
3241 3461 8
1322 3029 15
3886 848 15
1660 2200 5
549 1218 16
791 2272 9
1406 679 20
2407 619 13
2682 1686 17
1270 2460 16
285 2339 14
3619 3919 17
441 1051 20
4066 3455 7
4076 2494 7
3323 1238 7
939 2687 13
2870 2646 5
2118 2906 13
3985 448 7
1826 3759 17
1349 1279 13
2265 3910 7
795 1345 11
2062 3855 17
771 1843 18
1995 1919 12
2722 2267 11
3458 3851 19
650 2794 11
708 1113 18
425 2917 12
2884 1143 20
3999 3209 17
2895 24 8
3490 76 15
293 3863 12
505 1981 8
3728 2896 12
3551 2567 8
2536 376 16
1439 1043 20
2509 3847 8
701 3830 15
2178 1862 7
525 3078 18
2231 4217 7
1260 1851 5
3397 995 8
1382 332 14
725 2468 15
3879 4010 8
3206 1798 7
1887 552 14
1346 163 16
314 335 14
759 2415 17
3041 197 18
2449 3036 17
1212 2954 13
3489 4088 5
2736 3105 9
279 2715 19
353 2980 11
1697 3098 10
2674 3044 6
4026 1968 18
182 641 14
3865 485 6
1997 2537 10
2053 457 6
2071 2147 18
2240 1388 12
2768 368 15
1912 4209 6
1570 2023 5
1201 2674 13
3475 242 16
2105 3330 13
1054 1924 11
2858 4002 12
1315 1877 9
1046 447 10
1331 3473 14
3281 2172 5
466 2945 6
4 2782 14
1859 2145 11
3701 3368 17
1781 4176 17
2586 2548 17
2271 4035 11
1152 659 11
2939 3760 5
2929 751 12
1610 1106 14
1510 1879 7
1955 2983 12
1709 3820 18
194 3565 20
2067 666 20
1996 3589 12
2971 2453 16
106 3006 6
1085 203 9
3694 3680 20
630 3578 5
3453 3488 16
2804 2671 11
3961 2579 15
2312 1583 13
1102 3990 18
3524 965 10
1215 2645 5
4063 1572 16
1946 1638 17
2567 57 15
1450 2932 7
137 2884 20
785 2362 16
2578 2401 11
3688 1853 17
3462 810 5
3145 3475 9
3840 3837 17
1663 3799 10
80 1824 8
3121 3933 12
2018 3073 7
2249 3895 12
1470 39 10
3836 1806 19
2034 494 16
3305 3960 16
356 2137 20
3698 371 11
2902 1973 18
2291 3802 18
1157 1349 20
913 593 10
629 2097 5
2732 2274 13
1836 127 7
1678 3991 9
2452 862 18
3933 2658 12
90 1125 17
2924 370 19
1698 3626 7
2854 4087 11
4157 1809 17
4222 3352 16
278 3795 16
660 1348 14
1061 3278 5
2188 2796 17
2832 1560 17
3147 3021 16
1535 2139 17
471 290 12
1175 3183 17
582 211 6
377 3093 8
128 2150 15
1313 3135 8
2035 1056 10
758 3908 13
580 1121 15
2654 92 20
3522 539 10
4075 997 18
1779 2667 19
766 396 9
24 3495 9
1935 1209 12
2910 3375 17
1369 2948 10
376 1676 18
2410 1318 12
1579 3980 16
2139 1734 16
3536 782 5
1850 3521 5
2408 520 16
2309 451 17
3289 1474 5
4156 2341 14
1143 312 12
3873 1684 17
509 432 32
1308 2973 18
453 3139 10
861 2803 9
420 2223 11
830 2458 6
2606 2417 5
459 421 10
3557 1710 10
3227 1083 17
2048 2634 17
3523 3879 7
4176 1239 5
963 1110 9
2998 3404 5
1243 789 9
1537 3770 17
1854 567 8
1536 425 11
2290 1780 14
1076 2264 5
731 1682 15
740 3238 16
1745 1758 12
4021 1214 18
1689 2610 8
2757 110 18
3987 775 11
3911 1237 12
743 859 12
3705 553 7
3448 344 11
3401 151 5
2954 3341 16
127 3993 6
3144 1390 17
2767 2277 16
641 1875 16
1273 3742 16
1463 1468 9
3412 2881 7
1241 303 9
1844 831 12
1162 3228 13
3168 1868 6
2546 2076 8
1379 903 17
2430 2816 16
3355 137 14
1677 3949 7
1878 3805 14
2388 129 9
1630 3045 17
678 2616 8
574 4194 13
3261 2594 10
3420 2106 16
3585 1653 18
2576 251 16
1962 2073 11
111 279 17
2612 2482 9
2241 758 7
1480 2405 11
2799 1020 17
2926 3075 14
129 2288 7
3866 3701 7
2881 3257 14
1191 3599 19
2691 4064 15
3275 3679 5
2051 2914 10
1159 3841 7
2715 2738 11
3369 1092 15
2428 1599 8
941 3644 14
2126 3213 10
2626 597 8
3264 3593 19
2649 1874 11
3029 4191 6
3439 165 14
305 2834 16
931 2517 8
2853 3159 7
3637 186 6
2306 4131 13
451 1614 9
526 3560 15
3394 3317 16
4055 2256 20
1543 3808 16
2800 3254 7
1592 2531 13
65 1941 5
1445 2227 12
3488 1569 19
519 3540 15
1344 2842 9
3288 478 13
3829 1794 19
2519 1273 15
3025 2602 18
2746 1223 20
2942 538 10
3062 1731 17
1656 2008 20
1818 1084 7
2061 2815 10
1030 2637 18
3612 1963 14
3058 4026 16
39 3476 8
3909 1666 11
1888 2688 13
3425 2046 12
1609 3337 17
1132 1116 8
2334 2102 10
4090 3478 9
2734 3084 11
225 1377 15
1936 2957 13
473 750 9
656 1601 5
2679 2186 18
250 323 12
2157 511 15
1747 3411 10
2731 409 9
619 3262 16
1014 584 9
1263 99 10
680 2628 12
1561 1716 8
1151 3869 18
669 1464 5
3047 214 16
381 3103 20
2976 2841 18
1551 1933 15
3215 3048 15
2706 1784 13
2453 1156 6
4127 3268 14
3760 556 17
216 2040 16
609 3937 20
3710 2939 17
3139 2702 19
3526 4158 6
3210 4219 11
4003 3076 9
1433 2936 13
744 3450 19
2316 1337 19
4051 198 11
3628 3758 10
447 2053 5
207 2217 10
3169 2999 8
2595 2384 10
3378 4150 10
1050 1810 12
1053 1135 16
82 1264 20
2545 3670 17
3727 768 6
2292 2991 9
1732 2900 6
3012 3728 5
3627 2012 9
3876 2331 14
1090 1455 12
3090 1709 9
3418 3964 15
4057 78 10
3915 184 15
4002 406 7
625 2056 19
777 824 10
1087 978 15
1960 687 19
252 3581 11
3111 1169 16
1366 1829 17
3518 1594 11
2323 2131 17
3456 299 7
3892 2852 19
504 3538 5
883 380 19
1324 951 12
2350 1016 14
3454 3921 16
606 1188 13
2332 349 12
3629 3571 9
1371 2127 14
63 1171 8
4186 1744 11
665 2416 5
168 405 14
1098 973 7
1491 2497 14
2535 3218 6
1598 3737 9
3053 3547 8
2912 3507 5
1858 1774 13
3645 3746 17
361 631 6
4212 3460 14
833 2613 6
3525 3604 6
3007 2708 9
3852 351 19
1073 3219 14
1411 2810 19
3844 2162 15
3580 2486 11
553 1789 13
337 4144 17
1187 496 16
183 4076 10
2783 2368 11
208 133 5
4050 2188 10
997 4049 16
4110 4007 18
113 3907 10
1278 2518 15
1870 759 17
2081 700 9
1084 1203 6
1232 3004 9
4019 1199 13
456 2251 12
2517 2351 15
869 3510 10
2173 2473 8
1027 3022 5
1103 2783 14
1902 1706 13
2148 2867 14
3118 4000 16
3801 387 7
46 1801 8
2730 4078 13
95 2275 8
1856 2235 17
2269 3982 11
149 3094 16
1645 3155 10
3399 2682 12
96 4012 5
1426 3752 18
3872 2320 20
1737 222 17
3889 268 14
3343 2207 6
1942 527 13
1618 1736 8
4073 1213 7
1756 353 16
2432 2180 11
3016 1192 5
3967 3721 15
1423 2095 13
1885 487 19
1640 1297 16
313 3501 8
3598 2773 10
3622 2821 17
2647 2348 6
4100 932 11
3899 1148 11
320 884 8
